Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
sheep,3,104.9,crackling sound,shortness of breath,nasal discharge,pneumonia
cow,12,101.6,depression,loss of appetite,painless lumps,lumpy virus
goat,1,102.5,loss of appetite,depression,painless lumps,lumpy virus
cow,5,100.2,sores on gums,difficulty walking,loss of appetite,foot and mouth
sheep,9,101.0,loss of appetite,difficulty walking,sores on mouth,foot and mouth
sheep,8,102.4,depression,loss of appetite,painless lumps,lumpy virus
buffalo,12,102.6,sores on tongue,lameness,loss of appetite,foot and mouth
buffalo,13,101.2,loss of appetite,difficulty walking,depression,blackleg
cow,12,102.9,loss of appetite,painless lumps,depression,lumpy virus
sheep,3,103.7,sweats,chills,shortness of breath,anthrax
goat,4,103.8,chest discomfort,cough,shortness of breath,pneumonia
buffalo,12,100.4,shortness of breath,sweats,chills,anthrax
buffalo,10,100.2,shortness of breath,loss of appetite,crackling sound,pneumonia
cow,1,101.9,loss of appetite,depression,painless lumps,lumpy virus
sheep,1,100.4,crackling sound,nasal discharge,loss of appetite,pneumonia
sheep,8,101.5,loss of appetite,nasal discharge,crackling sound,pneumonia
sheep,6,103.4,painless lumps,loss of appetite,depression,lumpy virus
buffalo,13,101.2,chest discomfort,depression,crackling sound,pneumonia
buffalo,9,101.2,depression,painless lumps,loss of appetite,lumpy virus
goat,4,104.3,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
cow,9,101.3,crackling sound,lameness,depression,blackleg
buffalo,2,104.5,nasal discharge,chest discomfort,crackling sound,pneumonia
buffalo,15,100.4,swelling in muscle,crackling sound,loss of appetite,blackleg
cow,11,102.1,sweats,fatigue,chills,anthrax
cow,15,101.8,swelling in muscle,lameness,crackling sound,blackleg
cow,4,103.0,depression,painless lumps,loss of appetite,lumpy virus
cow,2,103.8,loss of appetite,depression,painless lumps,lumpy virus
sheep,3,100.2,difficulty walking,crackling sound,swelling in limb,blackleg
sheep,8,101.9,loss of appetite,painless lumps,depression,lumpy virus
goat,5,102.6,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
sheep,6,100.2,crackling sound,difficulty walking,depression,blackleg
sheep,8,100.9,lameness,sores on tongue,loss of appetite,foot and mouth
goat,8,102.0,chills,fatigue,swelling in abdomen,anthrax
cow,14,104.5,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
buffalo,3,101.3,painless lumps,loss of appetite,depression,lumpy virus
buffalo,4,103.6,cough,depression,shortness of breath,pneumonia
sheep,4,101.0,shortness of breath,swelling in abdomen,fatigue,anthrax
buffalo,10,102.0,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
buffalo,12,101.7,shortness of breath,depression,crackling sound,pneumonia
cow,15,102.9,swelling in abdomen,chills,shortness of breath,anthrax
cow,15,102.1,painless lumps,loss of appetite,depression,lumpy virus
buffalo,14,102.6,sweats,fatigue,chest discomfort,anthrax
buffalo,8,103.7,shortness of breath,loss of appetite,cough,pneumonia
cow,3,102.1,difficulty walking,blisters on gums,loss of appetite,foot and mouth
cow,7,104.5,shortness of breath,cough,chest discomfort,pneumonia
sheep,8,104.0,fatigue,chills,chest discomfort,anthrax
cow,5,101.2,cough,nasal discharge,chest discomfort,pneumonia
sheep,3,100.4,crackling sound,depression,difficulty walking,blackleg
goat,1,102.4,painless lumps,depression,loss of appetite,lumpy virus
cow,12,102.4,crackling sound,loss of appetite,difficulty walking,blackleg
cow,5,100.2,crackling sound,depression,nasal discharge,pneumonia
goat,2,102.0,depression,painless lumps,loss of appetite,lumpy virus
goat,7,104.7,loss of appetite,lameness,blisters on tongue,foot and mouth
cow,5,102.4,loss of appetite,difficulty walking,swelling in muscle,blackleg
cow,4,102.2,cough,crackling sound,nasal discharge,pneumonia
buffalo,13,104.4,difficulty walking,sores on gums,loss of appetite,foot and mouth
goat,7,104.2,nasal discharge,depression,crackling sound,pneumonia
cow,3,104.1,depression,painless lumps,loss of appetite,lumpy virus
sheep,6,103.9,chest discomfort,depression,cough,pneumonia
sheep,9,100.5,shortness of breath,crackling sound,chest discomfort,pneumonia
goat,2,101.1,depression,crackling sound,nasal discharge,pneumonia
sheep,10,101.8,sweats,chest discomfort,chills,anthrax
sheep,3,100.0,fatigue,chest discomfort,chills,anthrax
sheep,3,103.5,swelling in limb,depression,crackling sound,blackleg
goat,9,101.3,cough,loss of appetite,depression,pneumonia
cow,1,103.2,shortness of breath,crackling sound,nasal discharge,pneumonia
buffalo,3,101.0,painless lumps,depression,loss of appetite,lumpy virus
goat,6,101.0,chest discomfort,swelling in extremities,chills,anthrax
sheep,5,101.1,cough,crackling sound,chest discomfort,pneumonia
sheep,1,100.1,depression,loss of appetite,painless lumps,lumpy virus
sheep,4,101.5,swelling in limb,depression,crackling sound,blackleg
goat,4,101.0,sores on hooves,loss of appetite,lameness,foot and mouth
goat,7,101.2,chest discomfort,chills,sweats,anthrax
buffalo,1,101.8,sores on hooves,loss of appetite,difficulty walking,foot and mouth
cow,2,100.7,loss of appetite,blisters on mouth,difficulty walking,foot and mouth
goat,7,101.6,sweats,shortness of breath,chills,anthrax
cow,13,104.1,sweats,fatigue,swelling in abdomen,anthrax
buffalo,12,101.6,shortness of breath,chills,chest discomfort,anthrax
buffalo,7,102.8,chest discomfort,shortness of breath,swelling in neck,anthrax
sheep,1,100.3,cough,depression,shortness of breath,pneumonia
cow,14,102.0,painless lumps,loss of appetite,depression,lumpy virus
cow,2,101.8,difficulty walking,sores on hooves,loss of appetite,foot and mouth
sheep,5,100.1,chest discomfort,fatigue,swelling in neck,anthrax
buffalo,10,100.0,loss of appetite,depression,painless lumps,lumpy virus
goat,7,100.4,depression,lameness,swelling in muscle,blackleg
cow,12,102.2,fatigue,sweats,shortness of breath,anthrax
cow,12,102.9,fatigue,swelling in abdomen,chest discomfort,anthrax
sheep,1,102.4,blisters on mouth,loss of appetite,difficulty walking,foot and mouth
sheep,9,101.7,chest discomfort,crackling sound,loss of appetite,pneumonia
goat,6,101.9,depression,painless lumps,loss of appetite,lumpy virus
sheep,9,100.3,depression,painless lumps,loss of appetite,lumpy virus
sheep,10,103.0,sweats,fatigue,chest discomfort,anthrax
goat,6,100.1,blisters on hooves,loss of appetite,lameness,foot and mouth
cow,6,102.4,lameness,swelling in muscle,depression,blackleg
cow,10,104.4,loss of appetite,depression,painless lumps,lumpy virus
sheep,10,104.4,swelling in extremities,chest discomfort,chills,anthrax
cow,14,104.8,loss of appetite,crackling sound,lameness,blackleg
sheep,8,100.4,depression,painless lumps,loss of appetite,lumpy virus
buffalo,13,101.2,lameness,loss of appetite,sores on tongue,foot and mouth
buffalo,1,102.3,sores on gums,lameness,loss of appetite,foot and mouth
goat,3,103.4,cough,depression,shortness of breath,pneumonia
cow,11,101.9,difficulty walking,depression,crackling sound,blackleg
sheep,3,101.3,loss of appetite,depression,painless lumps,lumpy virus
buffalo,15,100.4,loss of appetite,nasal discharge,chest discomfort,pneumonia
sheep,2,102.0,swelling in abdomen,chills,shortness of breath,anthrax
sheep,2,103.7,loss of appetite,blisters on gums,lameness,foot and mouth
buffalo,3,102.1,fatigue,sweats,chills,anthrax
cow,10,104.6,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
cow,3,101.4,shortness of breath,sweats,chills,anthrax
buffalo,2,102.9,loss of appetite,depression,painless lumps,lumpy virus
goat,3,101.4,fatigue,shortness of breath,chills,anthrax
cow,1,102.8,sweats,chest discomfort,fatigue,anthrax
goat,4,101.5,fatigue,shortness of breath,swelling in abdomen,anthrax
cow,1,102.4,crackling sound,loss of appetite,depression,blackleg
goat,5,102.5,painless lumps,depression,loss of appetite,lumpy virus
cow,15,104.5,chest discomfort,sweats,chills,anthrax
goat,8,102.4,depression,crackling sound,nasal discharge,pneumonia
cow,7,100.8,crackling sound,depression,loss of appetite,blackleg
goat,7,102.1,chest discomfort,sweats,chills,anthrax
goat,8,104.3,swelling in extremities,fatigue,chest discomfort,anthrax
goat,6,103.9,nasal discharge,loss of appetite,crackling sound,pneumonia
cow,11,102.2,chest discomfort,swelling in neck,chills,anthrax
goat,5,102.3,loss of appetite,painless lumps,depression,lumpy virus
sheep,8,100.8,depression,lameness,crackling sound,blackleg
sheep,8,104.2,sores on hooves,lameness,loss of appetite,foot and mouth
buffalo,13,102.2,nasal discharge,depression,cough,pneumonia
cow,14,102.2,crackling sound,shortness of breath,cough,pneumonia
cow,1,101.5,blisters on tongue,loss of appetite,lameness,foot and mouth
goat,7,100.4,depression,nasal discharge,crackling sound,pneumonia
goat,7,102.0,sweats,shortness of breath,chills,anthrax
sheep,2,100.2,painless lumps,loss of appetite,depression,lumpy virus
goat,6,100.5,depression,painless lumps,loss of appetite,lumpy virus
goat,5,102.4,fatigue,chills,swelling in neck,anthrax
cow,1,100.1,sweats,chills,swelling in abdomen,anthrax
cow,9,101.1,loss of appetite,swelling in limb,crackling sound,blackleg
buffalo,15,104.2,loss of appetite,shortness of breath,cough,pneumonia
sheep,4,101.9,depression,loss of appetite,chest discomfort,pneumonia
sheep,9,104.5,loss of appetite,blisters on hooves,lameness,foot and mouth
buffalo,1,102.2,shortness of breath,sweats,chills,anthrax
buffalo,1,103.0,blisters on mouth,lameness,loss of appetite,foot and mouth
buffalo,11,103.7,shortness of breath,swelling in extremities,chest discomfort,anthrax
sheep,8,102.8,difficulty walking,loss of appetite,depression,blackleg
cow,10,101.2,cough,depression,chest discomfort,pneumonia
buffalo,7,103.7,crackling sound,cough,shortness of breath,pneumonia
goat,6,102.0,fatigue,sweats,swelling in neck,anthrax
buffalo,4,103.5,difficulty walking,sores on hooves,loss of appetite,foot and mouth
sheep,6,101.9,blisters on tongue,lameness,loss of appetite,foot and mouth
cow,7,102.4,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
sheep,9,104.3,lameness,sores on hooves,loss of appetite,foot and mouth
goat,8,100.4,swelling in neck,sweats,fatigue,anthrax
cow,3,102.1,nasal discharge,shortness of breath,cough,pneumonia
buffalo,11,104.8,painless lumps,loss of appetite,depression,lumpy virus
buffalo,6,102.4,depression,painless lumps,loss of appetite,lumpy virus
goat,9,103.8,sweats,chest discomfort,fatigue,anthrax
buffalo,1,101.2,depression,crackling sound,cough,pneumonia
cow,10,102.3,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
sheep,8,100.8,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
cow,1,102.8,chest discomfort,nasal discharge,shortness of breath,pneumonia
goat,1,100.8,loss of appetite,lameness,blisters on mouth,foot and mouth
cow,3,100.6,crackling sound,loss of appetite,depression,blackleg
goat,6,104.2,blisters on mouth,lameness,loss of appetite,foot and mouth
sheep,8,103.7,shortness of breath,depression,loss of appetite,pneumonia
cow,13,104.0,lameness,loss of appetite,sores on mouth,foot and mouth
cow,8,102.2,swelling in muscle,depression,lameness,blackleg
goat,10,100.3,swelling in limb,loss of appetite,lameness,blackleg
goat,5,102.2,depression,lameness,loss of appetite,blackleg
cow,13,104.1,cough,nasal discharge,depression,pneumonia
goat,8,104.3,sores on mouth,loss of appetite,difficulty walking,foot and mouth
cow,9,101.6,loss of appetite,sores on hooves,lameness,foot and mouth
buffalo,1,100.2,loss of appetite,difficulty walking,sores on tongue,foot and mouth
buffalo,4,100.0,loss of appetite,depression,shortness of breath,pneumonia
sheep,9,102.4,sores on tongue,loss of appetite,difficulty walking,foot and mouth
goat,1,102.0,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
buffalo,11,102.7,fatigue,shortness of breath,swelling in neck,anthrax
sheep,3,101.4,chills,chest discomfort,fatigue,anthrax
cow,7,100.1,depression,loss of appetite,painless lumps,lumpy virus
sheep,6,102.6,sweats,fatigue,swelling in extremities,anthrax
goat,8,100.8,crackling sound,nasal discharge,shortness of breath,pneumonia
buffalo,14,101.1,depression,loss of appetite,swelling in limb,blackleg
sheep,10,101.9,depression,crackling sound,cough,pneumonia
buffalo,1,101.7,lameness,loss of appetite,depression,blackleg
cow,3,104.2,loss of appetite,lameness,crackling sound,blackleg
sheep,5,101.3,lameness,swelling in limb,crackling sound,blackleg
goat,7,102.8,painless lumps,depression,loss of appetite,lumpy virus
buffalo,7,102.7,depression,painless lumps,loss of appetite,lumpy virus
sheep,4,102.3,loss of appetite,depression,crackling sound,blackleg
sheep,10,104.2,shortness of breath,fatigue,swelling in neck,anthrax
buffalo,14,102.0,depression,crackling sound,swelling in muscle,blackleg
buffalo,6,104.3,loss of appetite,depression,painless lumps,lumpy virus
sheep,9,103.7,depression,nasal discharge,crackling sound,pneumonia
sheep,3,100.4,loss of appetite,crackling sound,swelling in limb,blackleg
buffalo,6,103.9,sores on tongue,lameness,loss of appetite,foot and mouth
sheep,3,100.7,swelling in limb,crackling sound,loss of appetite,blackleg
sheep,3,101.2,swelling in limb,depression,difficulty walking,blackleg
sheep,2,102.9,fatigue,sweats,chest discomfort,anthrax
cow,13,102.7,loss of appetite,chest discomfort,shortness of breath,pneumonia
sheep,8,103.5,depression,painless lumps,loss of appetite,lumpy virus
goat,9,102.1,depression,difficulty walking,crackling sound,blackleg
buffalo,6,101.2,swelling in abdomen,shortness of breath,fatigue,anthrax
goat,2,103.9,lameness,sores on hooves,loss of appetite,foot and mouth
sheep,7,104.1,loss of appetite,painless lumps,depression,lumpy virus
sheep,10,102.8,loss of appetite,painless lumps,depression,lumpy virus
cow,1,104.1,depression,painless lumps,loss of appetite,lumpy virus
goat,1,103.6,sores on gums,loss of appetite,difficulty walking,foot and mouth
buffalo,12,104.2,nasal discharge,crackling sound,cough,pneumonia
sheep,10,105.0,fatigue,chest discomfort,sweats,anthrax
sheep,1,104.6,depression,loss of appetite,painless lumps,lumpy virus
sheep,2,104.5,painless lumps,depression,loss of appetite,lumpy virus
cow,14,101.8,loss of appetite,depression,painless lumps,lumpy virus
sheep,10,103.1,nasal discharge,chest discomfort,cough,pneumonia
buffalo,8,101.9,loss of appetite,painless lumps,depression,lumpy virus
goat,8,100.2,depression,loss of appetite,painless lumps,lumpy virus
buffalo,9,100.4,chills,sweats,shortness of breath,anthrax
goat,3,102.0,loss of appetite,depression,swelling in muscle,blackleg
sheep,4,103.9,loss of appetite,depression,painless lumps,lumpy virus
buffalo,8,101.1,crackling sound,cough,chest discomfort,pneumonia
cow,13,101.0,loss of appetite,depression,painless lumps,lumpy virus
goat,8,101.5,chest discomfort,swelling in extremities,sweats,anthrax
sheep,1,101.5,loss of appetite,blisters on gums,lameness,foot and mouth
cow,14,102.0,depression,loss of appetite,swelling in limb,blackleg
cow,12,100.9,shortness of breath,sweats,fatigue,anthrax
buffalo,12,102.3,sores on tongue,loss of appetite,difficulty walking,foot and mouth
goat,6,102.0,chest discomfort,crackling sound,loss of appetite,pneumonia
buffalo,13,101.4,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
sheep,9,104.1,fatigue,shortness of breath,chills,anthrax
buffalo,8,101.8,loss of appetite,painless lumps,depression,lumpy virus
sheep,4,102.1,sweats,chills,shortness of breath,anthrax
goat,9,103.8,nasal discharge,cough,crackling sound,pneumonia
buffalo,11,103.7,shortness of breath,fatigue,sweats,anthrax
goat,3,100.6,chills,shortness of breath,fatigue,anthrax
goat,5,101.9,swelling in muscle,crackling sound,difficulty walking,blackleg
cow,13,103.2,painless lumps,depression,loss of appetite,lumpy virus
buffalo,11,102.5,fatigue,chills,sweats,anthrax
cow,4,100.3,chest discomfort,chills,sweats,anthrax
sheep,2,104.2,cough,loss of appetite,nasal discharge,pneumonia
sheep,2,101.4,loss of appetite,difficulty walking,blisters on gums,foot and mouth
buffalo,3,103.8,chills,fatigue,shortness of breath,anthrax
goat,10,104.0,depression,difficulty walking,loss of appetite,blackleg
buffalo,3,100.4,difficulty walking,sores on gums,loss of appetite,foot and mouth
cow,8,103.8,loss of appetite,shortness of breath,depression,pneumonia
cow,14,100.8,loss of appetite,painless lumps,depression,lumpy virus
goat,8,101.9,shortness of breath,loss of appetite,crackling sound,pneumonia
cow,8,101.1,lameness,loss of appetite,swelling in muscle,blackleg
buffalo,5,102.6,depression,painless lumps,loss of appetite,lumpy virus
goat,10,103.3,depression,loss of appetite,painless lumps,lumpy virus
sheep,3,100.7,painless lumps,loss of appetite,depression,lumpy virus
sheep,4,101.4,swelling in limb,lameness,loss of appetite,blackleg
sheep,3,100.3,chest discomfort,crackling sound,nasal discharge,pneumonia
goat,3,101.1,sores on gums,lameness,loss of appetite,foot and mouth
buffalo,15,102.4,depression,painless lumps,loss of appetite,lumpy virus
cow,2,103.8,shortness of breath,sweats,chest discomfort,anthrax
buffalo,3,103.4,crackling sound,depression,loss of appetite,blackleg
buffalo,1,100.6,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
goat,2,101.8,loss of appetite,depression,nasal discharge,pneumonia
cow,3,101.7,fatigue,chest discomfort,sweats,anthrax
buffalo,5,103.3,crackling sound,swelling in limb,depression,blackleg
cow,5,103.7,loss of appetite,painless lumps,depression,lumpy virus
sheep,10,104.3,chills,shortness of breath,chest discomfort,anthrax
cow,10,103.2,fatigue,shortness of breath,chills,anthrax
cow,3,103.0,loss of appetite,painless lumps,depression,lumpy virus
goat,1,101.3,swelling in muscle,loss of appetite,lameness,blackleg
goat,6,104.9,loss of appetite,lameness,swelling in limb,blackleg
cow,4,100.1,depression,crackling sound,swelling in muscle,blackleg
buffalo,14,103.4,sweats,chills,fatigue,anthrax
goat,10,104.4,fatigue,chills,chest discomfort,anthrax
buffalo,13,102.7,blisters on tongue,loss of appetite,difficulty walking,foot and mouth
goat,4,104.8,lameness,crackling sound,depression,blackleg
cow,12,100.0,blisters on mouth,lameness,loss of appetite,foot and mouth
goat,10,104.2,loss of appetite,lameness,sores on tongue,foot and mouth
cow,8,101.2,depression,loss of appetite,painless lumps,lumpy virus
cow,4,102.4,loss of appetite,depression,painless lumps,lumpy virus
buffalo,10,102.4,loss of appetite,depression,crackling sound,blackleg
sheep,1,100.3,loss of appetite,depression,painless lumps,lumpy virus
goat,5,102.6,painless lumps,loss of appetite,depression,lumpy virus
goat,10,101.3,crackling sound,swelling in muscle,difficulty walking,blackleg
sheep,2,103.3,depression,loss of appetite,painless lumps,lumpy virus
sheep,6,102.2,fatigue,swelling in abdomen,sweats,anthrax
sheep,3,104.6,shortness of breath,depression,cough,pneumonia
goat,9,101.4,depression,cough,crackling sound,pneumonia
buffalo,7,100.2,difficulty walking,swelling in limb,loss of appetite,blackleg
cow,2,102.3,loss of appetite,crackling sound,nasal discharge,pneumonia
buffalo,11,102.5,lameness,sores on mouth,loss of appetite,foot and mouth
buffalo,5,104.9,fatigue,sweats,swelling in abdomen,anthrax
sheep,10,102.1,depression,loss of appetite,shortness of breath,pneumonia
cow,14,101.4,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
buffalo,8,101.6,depression,loss of appetite,painless lumps,lumpy virus
sheep,1,104.6,nasal discharge,shortness of breath,chest discomfort,pneumonia
cow,14,100.3,loss of appetite,cough,crackling sound,pneumonia
cow,2,101.6,loss of appetite,depression,cough,pneumonia
goat,8,104.7,loss of appetite,cough,depression,pneumonia
sheep,7,101.0,chills,fatigue,shortness of breath,anthrax
goat,3,101.9,chest discomfort,shortness of breath,nasal discharge,pneumonia
cow,10,102.8,swelling in neck,chest discomfort,shortness of breath,anthrax
buffalo,7,102.8,shortness of breath,fatigue,sweats,anthrax
buffalo,9,102.5,crackling sound,loss of appetite,difficulty walking,blackleg
sheep,4,101.1,cough,nasal discharge,crackling sound,pneumonia
cow,4,100.9,difficulty walking,depression,swelling in muscle,blackleg
goat,6,100.2,blisters on mouth,loss of appetite,lameness,foot and mouth
sheep,1,101.1,shortness of breath,swelling in neck,chest discomfort,anthrax
cow,6,100.9,difficulty walking,loss of appetite,swelling in muscle,blackleg
cow,7,104.5,loss of appetite,crackling sound,shortness of breath,pneumonia
goat,5,100.6,swelling in limb,crackling sound,difficulty walking,blackleg
sheep,9,101.7,sores on hooves,loss of appetite,lameness,foot and mouth
buffalo,13,104.3,depression,painless lumps,loss of appetite,lumpy virus
cow,4,104.8,depression,crackling sound,swelling in muscle,blackleg
buffalo,5,100.1,chills,swelling in neck,shortness of breath,anthrax
sheep,9,101.4,blisters on gums,difficulty walking,loss of appetite,foot and mouth
cow,2,104.5,loss of appetite,painless lumps,depression,lumpy virus
buffalo,3,104.0,blisters on hooves,lameness,loss of appetite,foot and mouth
goat,10,100.4,lameness,blisters on mouth,loss of appetite,foot and mouth
cow,14,102.4,depression,loss of appetite,painless lumps,lumpy virus
goat,6,101.2,chills,chest discomfort,sweats,anthrax
goat,6,102.4,loss of appetite,painless lumps,depression,lumpy virus
cow,13,102.5,difficulty walking,swelling in muscle,crackling sound,blackleg
goat,7,102.4,swelling in limb,loss of appetite,crackling sound,blackleg
cow,10,100.9,shortness of breath,swelling in abdomen,chest discomfort,anthrax
buffalo,7,103.0,loss of appetite,shortness of breath,nasal discharge,pneumonia
goat,4,103.8,blisters on gums,difficulty walking,loss of appetite,foot and mouth
buffalo,2,101.6,loss of appetite,sores on tongue,difficulty walking,foot and mouth
buffalo,10,100.6,nasal discharge,depression,cough,pneumonia
buffalo,5,102.1,painless lumps,depression,loss of appetite,lumpy virus
goat,7,104.2,depression,loss of appetite,painless lumps,lumpy virus
goat,3,101.0,cough,loss of appetite,chest discomfort,pneumonia
cow,14,101.3,chest discomfort,sweats,shortness of breath,anthrax
buffalo,7,102.1,loss of appetite,sores on gums,difficulty walking,foot and mouth
buffalo,11,102.3,depression,crackling sound,loss of appetite,pneumonia
cow,5,101.3,shortness of breath,sweats,chest discomfort,anthrax
buffalo,10,104.5,depression,loss of appetite,cough,pneumonia
cow,6,101.1,depression,crackling sound,loss of appetite,blackleg
